,ERR3196800,ERR3196801,ERR3196802,ERR3196803,ERR3196804,ERR3196805,ERR3196806,ERR3196808,ERR3196809,ERR3196810,ERR3196811,ERR3196812,ERR3196813,ERR3196814,ERR3196816,ERR3196817,ERR3196818,ERR3196819,ERR3196820,ERR3196821,ERR3196822
ERR3196800,0.0,0.08008947731666377,0.0,0.0,0.0,0.0,1.2351985423603483e-10,0.11691370905902947,0.008601510048317907,0.0,0.0,0.0,0.0,0.0,0.7863201869782286,0.008075116474240496,0.0,0.0,0.0,0.0,0.0
ERR3196801,1.520172404218547e-10,0.0,0.0721539536171207,0.0,0.0,0.0,0.0,1.8945329559892965e-07,0.050777624942968363,0.0,0.0,0.0,0.0,0.0,1.8600336909875718e-07,0.8770680458312291,0.0,0.0,0.0,0.0,0.0
ERR3196802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1591182066850322e-10,0.013102876463121568,0.04553241916989164,0.0,0.9271599319999446,0.0,0.0,5.74334147854664e-08,0.014204714817715606,0.0,0.0,0.0,0.0
ERR3196803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0878642777571245e-06,6.171578147142793e-05,0.0,0.8562449193206463,0.0,0.0,0.0,2.5346642219121242e-06,0.008194827302393388,0.1354939150669893,0.0,0.0
ERR3196804,0.0,0.0,0.0,0.0,0.0,0.003248203405869938,0.0,0.0,0.0,0.0,0.00038819375933835457,0.06870267355965032,0.016257182024637277,0.0,0.0,0.0,0.0,1.6058984283517533e-05,0.9113876882662206,0.0,0.0
ERR3196805,0.0,0.0,0.0,0.0,1.6818372586453814e-08,0.0,0.0,0.0,0.0,0.0,0.0,1.3652765914846428e-07,0.0,0.6330499323744863,0.0,0.0,0.0,0.0,4.518886190854745e-09,0.36669832533347096,0.00025158442712474086
ERR3196806,0.0,0.0,0.0,0.0,0.0,0.06991090141246656,0.0,0.018914768324247978,0.0,0.0,0.0,0.0,0.0,0.7678877202032174,0.024195635720369972,0.0,0.0,0.0,0.0,0.04575786167564208,0.07333311266405607
ERR3196808,1.1404733921049289e-09,1.3601220017313353e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.2426243695474091,0.0,0.0,0.0,0.0,1.063096303461804e-06,3.328450758359786e-06,0.7573576365450384,0.0,0.0,0.0,0.0,0.0
ERR3196809,0.0,4.344235421149627e-10,0.09054344159937015,0.0,0.0,0.0,0.0,1.9843851602707242e-10,0.0,0.8421075370380559,0.0,0.0,0.0,0.0,1.8770808777721497e-08,0.06734900195890324,0.0,0.0,0.0,0.0,0.0
ERR3196810,0.0,0.0,6.574059232958412e-07,0.0025430980189521204,0.0,0.0,0.0,0.0,0.0,0.0,0.0008303706884766617,0.0,0.9190203762178843,0.0,0.0,0.0,1.2202787668581676e-05,0.0,0.07759329488109495,0.0,0.0
ERR3196811,0.0,0.0,0.0,2.421259443904814e-08,0.0,0.0,0.0,0.0,0.0,3.09905157304096e-07,0.0,0.0,0.8732308934356906,0.0,0.0,0.0,5.2165823580341353e-08,0.0344375207567818,0.09233119952395237,0.0,0.0
ERR3196812,0.0,0.0,0.0,0.0,1.5711581602743878e-06,0.00126597775692764,0.0,0.0,0.0,0.0,0.0,0.0,1.392103310735644e-11,0.0,0.0,0.0,0.0,0.0,2.8549062838332967e-05,0.11450446348105367,0.884199438527099
ERR3196813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.990199361177371e-07,4.214307465983586e-06,0.16860381198614163,0.0,0.0,0.0,0.0,9.70968867598871e-07,0.0,0.015782141605660112,0.0,0.8156078621119286
ERR3196814,0.0,0.0,0.0,0.0,0.0,2.9255733264242157e-06,0.9999920291692623,3.123923985098932e-06,0.0,0.0,0.0,3.668575539994288e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.204663611357067e-07,6.340095108936621e-07
ERR3196816,3.4810424976380233e-08,0.7487676292399553,0.0,0.0,0.0,0.0,2.1664740136851668e-08,0.0017364064877056912,0.05212919390833476,0.0,0.0,0.0,0.0,0.0,0.0,0.19736671388883908,0.0,0.0,0.0,0.0,0.0
ERR3196817,0.009221381895830874,0.010458867576566258,0.8088087532621563,0.0,0.0,0.0,0.0,0.04791238398611292,6.49292973143586e-08,0.0,0.0,0.0,0.0,0.0,0.12359854835003627,0.0,0.0,0.0,0.0,0.0,0.0
ERR3196818,0.0,0.0,6.366781456893856e-07,0.00011904072228008269,0.0,0.0,0.0,0.0,0.0,1.0237861687527237e-07,0.00026504432852435006,0.0,0.9072509883026887,0.0,0.0,0.0,0.0,0.09236418758974434,0.0,0.0,0.0
ERR3196819,0.0,0.0,0.0,2.2706991401514015e-08,0.415765742757972,0.0,0.0,0.0,0.0,0.0,1.6653141318559185e-10,0.0,0.21718941906289066,0.0,0.0,0.0,1.865298316288068e-08,0.0,0.3670447966526313,0.0,0.0
ERR3196820,0.0,0.0,0.0,0.0,5.103668345391448e-07,0.0,0.0,0.0,0.0,0.00014240882364791523,5.671877831177047e-06,0.29983945525765726,0.7000096946960265,0.0,0.0,0.0,0.0,2.2589780026097307e-06,0.0,0.0,0.0
ERR3196821,0.0,0.0,0.0,0.0,0.0,6.222945824871352e-12,0.0006157952057048959,0.0,0.0,0.0,0.0,4.454602430159332e-11,1.1264142786095711e-10,0.9993842044650594,0.0,0.0,0.0,0.0,0.0,0.0,1.658254398756691e-10
ERR3196822,0.0,0.0,0.0,0.0,1.565745635767498e-13,3.6640248605694043e-11,0.0,0.0,0.0,0.0,0.0,6.74079300680236e-08,6.38554159859155e-07,0.9967464389950907,0.0,0.0,0.0,0.0,0.0,0.0032528550060225312,0.0
